areasymbol	areaname	mukey	musym	muname	cokey	comppct	slope	slopelenusle	depth_top	depth_bottom	kffact	bulk_density	ph	wthirdbar_r	wfifteenbar_r	awc_r	claytotal_r	sandtotal_r	ksat_r	om_r	ll_r	texdesc
IA099	Jasper	407690	76C2	Ladoga silt loam, 5 to 9 percent slopes, eroded	14556656	85	7	61	15	25	.49	1.360	6.000	30.700	16.400	0.190	28.000	2.000	3.000	1.000	40.000	Silty clay loam
IA099	Jasper	407690	76C2	Ladoga silt loam, 5 to 9 percent slopes, eroded	14556656	85	7	61	25	48	.43	1.420	5.700	32.700	19.700	0.180	33.000	2.000	3.000	0.750	44.000	Silty clay loam
IA099	Jasper	407690	76C2	Ladoga silt loam, 5 to 9 percent slopes, eroded	14556656	85	7	61	48	64	.37	1.420	5.500	34.300	22.500	0.180	38.000	2.000	1.100	0.750	50.000	Silty clay loam
IA099	Jasper	407690	76C2	Ladoga silt loam, 5 to 9 percent slopes, eroded	14556656	85	7	61	64	81	.43	1.420	5.500	33.700	21.400	0.180	36.000	2.000	1.100	0.750	48.000	Silty clay loam
IA099	Jasper	407690	76C2	Ladoga silt loam, 5 to 9 percent slopes, eroded	14556656	85	7	61	81	114	.43	1.420	5.800	33.100	20.200	0.180	34.000	2.000	3.000	0.750	45.000	Silty clay loam
IA099	Jasper	407690	76C2	Ladoga silt loam, 5 to 9 percent slopes, eroded	14556656	85	7	61	114	130	.49	1.460	6.000	31.800	18.200	0.180	30.000	2.000	3.000	0.500	41.000	Silty clay loam
IA099	Jasper	407690	76C2	Ladoga silt loam, 5 to 9 percent slopes, eroded	14556656	85	7	61	130	152	.49	1.360	6.100	29.400	14.400	0.170	26.000	2.000	9.000	0.250	36.000	Silt loam
IA099	Jasper	407691	76D2	Ladoga silt loam, 9 to 14 percent slopes, eroded	14556659	90	12	46	0	15	.37	1.330	6.600	30.600	16.300	0.200	25.000	2.000	9.000	2.500	40.000	Silt loam
IA099	Jasper	407691	76D2	Ladoga silt loam, 9 to 14 percent slopes, eroded	14556659	90	12	46	15	25	.49	1.360	6.000	30.700	16.400	0.190	28.000	2.000	3.000	1.000	40.000	Silty clay loam
IA099	Jasper	407691	76D2	Ladoga silt loam, 9 to 14 percent slopes, eroded	14556659	90	12	46	25	48	.43	1.420	5.700	32.700	19.700	0.180	33.000	2.000	3.000	0.750	44.000	Silty clay loam
IA099	Jasper	407691	76D2	Ladoga silt loam, 9 to 14 percent slopes, eroded	14556659	90	12	46	48	64	.37	1.420	5.500	34.300	22.500	0.180	38.000	2.000	1.100	0.750	50.000	Silty clay loam
IA099	Jasper	407691	76D2	Ladoga silt loam, 9 to 14 percent slopes, eroded	14556659	90	12	46	64	81	.43	1.420	5.500	33.700	21.400	0.180	36.000	2.000	1.100	0.750	48.000	Silty clay loam
IA099	Jasper	407691	76D2	Ladoga silt loam, 9 to 14 percent slopes, eroded	14556659	90	12	46	81	114	.43	1.420	5.800	33.100	20.200	0.180	34.000	2.000	3.000	0.750	45.000	Silty clay loam
IA099	Jasper	407691	76D2	Ladoga silt loam, 9 to 14 percent slopes, eroded	14556659	90	12	46	114	130	.49	1.460	6.000	31.800	18.200	0.180	30.000	2.000	3.000	0.500	41.000	Silty clay loam
IA099	Jasper	407691	76D2	Ladoga silt loam, 9 to 14 percent slopes, eroded	14556659	90	12	46	130	152	.49	1.360	6.100	29.400	14.400	0.170	26.000	2.000	9.000	0.250	36.000	Silt loam
IA099	Jasper	407698	822D2	Lamoni silty clay loam, 9 to 14 percent slopes, moderately eroded	14556589	95	12	46	0	25	.37	1.480	6.400	34.300	23.000	0.190	33.500	18.700	3.000	2.700	40.000	Silty clay loam
IA099	Jasper	407698	822D2	Lamoni silty clay loam, 9 to 14 percent slopes, moderately eroded	14556589	95	12	46	25	127	.28	1.600	5.800	33.000	22.500	0.150	44.000	26.900	0.040	1.250	55.000	Clay
IA099	Jasper	407698	822D2	Lamoni silty clay loam, 9 to 14 percent slopes, moderately eroded	14556589	95	12	46	127	152	.32	1.650	6.500	33.200	24.900	0.160	36.000	30.900	0.700	0.250	42.500	Clay loam
IA099	Jasper	407703	93D2	Shelby-Adair complex, 9 to 14 percent slopes, moderately eroded	14556504	60	12	46	0	20	.32	1.530	6.200	29.500	16.500	0.170	22.500	35.400	9.000	2.700	40.000	Loam
IA099	Jasper	407703	93D2	Shelby-Adair complex, 9 to 14 percent slopes, moderately eroded	14556504	60	12	46	20	28	.28	1.530	6.200	32.400	21.500	0.170	32.500	34.700	3.000	1.500	40.000	Clay loam
IA099	Jasper	407703	93D2	Shelby-Adair complex, 9 to 14 percent slopes, moderately eroded	14556504	60	12	46	28	107	.32	1.600	6.200	31.600	20.700	0.170	32.500	34.700	3.000	0.500	37.500	Clay loam
IA099	Jasper	407703	93D2	Shelby-Adair complex, 9 to 14 percent slopes, moderately eroded	14556504	60	12	46	107	183	.32	1.600	7.500	31.400	20.400	0.170	32.500	34.700	3.000	0.250	37.500	Clay loam
IA099	Jasper	407707	993D2	Gara-Armstrong loams, 9 to 14 percent slopes, moderately eroded	14556594	50	12	46	0	20	.32	1.530	6.500	30.200	17.600	0.170	25.000	35.400	9.000	2.500	40.000	Loam
IA099	Jasper	407707	993D2	Gara-Armstrong loams, 9 to 14 percent slopes, moderately eroded	14556594	50	12	46	20	107	.32	1.650	5.500	30.800	20.300	0.170	31.500	35.300	3.000	0.250	35.000	Clay loam
IA099	Jasper	407707	993D2	Gara-Armstrong loams, 9 to 14 percent slopes, moderately eroded	14556594	50	12	46	107	152	.32	1.700	7.000	30.400	20.600	0.170	31.000	35.400	3.000	0.250	35.000	Clay loam
