972|"336180"|"407587"|"19627105"
972|"336181"|"407587"|"19627106"
972|"336183"|"407587"|"19627107"
972|"336184"|"407587"|"19627108"
506|"336180"|"407588"|"19627245"
506|"336182"|"407588"|"19627246"
506|"336183"|"407588"|"19627247"
506|"336184"|"407588"|"19627248"
1668|"336180"|"407589"|"19627230"
1668|"336182"|"407589"|"19627231"
1668|"336183"|"407589"|"19627232"
1668|"336184"|"407589"|"19627233"
16322|"336180"|"407590"|"19627030"
16322|"336182"|"407590"|"19627031"
16322|"336183"|"407590"|"19627032"
16322|"336184"|"407590"|"19627033"
464|"336180"|"407591"|"19627140"
464|"336182"|"407591"|"19627141"
464|"336183"|"407591"|"19627142"
464|"336184"|"407591"|"19627143"
34441|"336180"|"407592"|"19627145"
34441|"336182"|"407592"|"19627146"
34441|"336183"|"407592"|"19627147"
34441|"336184"|"407592"|"19627148"
32917|"336180"|"407593"|"19627160"
32917|"336182"|"407593"|"19627161"
32917|"336183"|"407593"|"19627162"
32917|"336184"|"407593"|"19627163"
18074|"336180"|"407594"|"19627165"
18074|"336182"|"407594"|"19627166"
18074|"336183"|"407594"|"19627167"
18074|"336184"|"407594"|"19627168"
255|"336180"|"407595"|"19627240"
255|"336182"|"407595"|"19627241"
255|"336183"|"407595"|"19627242"
255|"336184"|"407595"|"19627243"
10373|"336180"|"407596"|"19627255"
10373|"336182"|"407596"|"19627256"
10373|"336183"|"407596"|"19627257"
10373|"336184"|"407596"|"19627258"
4949|"336180"|"407597"|"19627250"
4949|"336182"|"407597"|"19627251"
4949|"336183"|"407597"|"19627252"
4949|"336184"|"407597"|"19627253"
3702|"336180"|"407598"|"19626755"
3702|"336181"|"407598"|"19626756"
3702|"336183"|"407598"|"19626757"
3702|"336184"|"407598"|"19626758"
1391|"336180"|"407599"|"19626760"
1391|"336181"|"407599"|"19626761"
1391|"336183"|"407599"|"19626762"
1391|"336184"|"407599"|"19626763"
1920|"336180"|"407602"|"19626765"
1920|"336181"|"407602"|"19626766"
1920|"336183"|"407602"|"19626767"
1920|"336184"|"407602"|"19626768"
392|"336180"|"407603"|"19626770"
392|"336181"|"407603"|"19626771"
392|"336183"|"407603"|"19626772"
392|"336184"|"407603"|"19626773"
246|"336180"|"407604"|"19627070"
246|"336182"|"407604"|"19627071"
246|"336183"|"407604"|"19627072"
246|"336184"|"407604"|"19627073"
4037|"336180"|"407605"|"19627075"
4037|"336182"|"407605"|"19627076"
4037|"336183"|"407605"|"19627077"
4037|"336184"|"407605"|"19627078"
12834|"336180"|"407606"|"19627080"
12834|"336182"|"407606"|"19627081"
12834|"336183"|"407606"|"19627082"
12834|"336184"|"407606"|"19627083"
17786|"336180"|"407607"|"19627085"
17786|"336182"|"407607"|"19627086"
17786|"336183"|"407607"|"19627087"
17786|"336184"|"407607"|"19627088"
2713|"336180"|"407608"|"19627090"
2713|"336182"|"407608"|"19627091"
2713|"336183"|"407608"|"19627092"
2713|"336184"|"407608"|"19627093"
882|"336180"|"407609"|"19627035"
882|"336182"|"407609"|"19627036"
882|"336183"|"407609"|"19627037"
882|"336184"|"407609"|"19627038"
2063|"336180"|"407610"|"19627040"
2063|"336182"|"407610"|"19627041"
2063|"336183"|"407610"|"19627042"
2063|"336184"|"407610"|"19627043"
2778|"336180"|"407611"|"19627045"
2778|"336182"|"407611"|"19627046"
2778|"336183"|"407611"|"19627047"
2778|"336184"|"407611"|"19627048"
383|"336180"|"407612"|"19627060"
383|"336182"|"407612"|"19627061"
383|"336183"|"407612"|"19627062"
383|"336184"|"407612"|"19627063"
1822|"336180"|"407613"|"19627050"
1822|"336182"|"407613"|"19627051"
1822|"336183"|"407613"|"19627052"
1822|"336184"|"407613"|"19627053"
457|"336180"|"407614"|"19627055"
457|"336182"|"407614"|"19627056"
457|"336183"|"407614"|"19627057"
457|"336184"|"407614"|"19627058"
601|"336180"|"407615"|"19627215"
601|"336181"|"407615"|"19627216"
601|"336183"|"407615"|"19627217"
601|"336184"|"407615"|"19627218"
1361|"336180"|"407616"|"19627220"
1361|"336181"|"407616"|"19627221"
1361|"336183"|"407616"|"19627222"
1361|"336184"|"407616"|"19627223"
1778|"336180"|"407618"|"19626775"
1778|"336182"|"407618"|"19626776"
1778|"336183"|"407618"|"19626777"
1778|"336184"|"407618"|"19626778"
397|"336180"|"407619"|"19626780"
397|"336181"|"407619"|"19626781"
397|"336183"|"407619"|"19626782"
397|"336184"|"407619"|"19626783"
694|"336180"|"407620"|"19627265"
694|"336182"|"407620"|"19627266"
694|"336183"|"407620"|"19627267"
694|"336184"|"407620"|"19627268"
504|"336180"|"407621"|"19627270"
504|"336182"|"407621"|"19627271"
504|"336183"|"407621"|"19627272"
504|"336184"|"407621"|"19627273"
248|"336180"|"407622"|"19627275"
248|"336182"|"407622"|"19627276"
248|"336183"|"407622"|"19627277"
248|"336184"|"407622"|"19627278"
3759|"336180"|"407623"|"19626785"
3759|"336182"|"407623"|"19626786"
3759|"336183"|"407623"|"19626787"
3759|"336184"|"407623"|"19626788"
9513|"336180"|"407624"|"19626790"
9513|"336182"|"407624"|"19626791"
9513|"336183"|"407624"|"19626792"
9513|"336184"|"407624"|"19626793"
4223|"336180"|"407625"|"19626795"
4223|"336182"|"407625"|"19626796"
4223|"336183"|"407625"|"19626797"
4223|"336184"|"407625"|"19626798"
420|"336180"|"407626"|"19626800"
420|"336182"|"407626"|"19626801"
420|"336183"|"407626"|"19626802"
420|"336184"|"407626"|"19626803"
384|"336180"|"407627"|"19626805"
384|"336182"|"407627"|"19626806"
384|"336183"|"407627"|"19626807"
384|"336184"|"407627"|"19626808"
182|"336180"|"407628"|"19626810"
182|"336182"|"407628"|"19626811"
182|"336183"|"407628"|"19626812"
182|"336184"|"407628"|"19626813"
1855|"336180"|"407629"|"19626815"
1855|"336182"|"407629"|"19626816"
1855|"336183"|"407629"|"19626817"
1855|"336184"|"407629"|"19626818"
14034|"336182"|"407630"|"19627186"
14034|"336183"|"407630"|"19627187"
14034|"336184"|"407630"|"19627188"
14013|"336182"|"407631"|"19627191"
14013|"336183"|"407631"|"19627192"
14013|"336184"|"407631"|"19627193"
655|"336182"|"407632"|"19627196"
655|"336183"|"407632"|"19627197"
655|"336184"|"407632"|"19627198"
1196|"336180"|"407633"|"19626820"
1196|"336182"|"407633"|"19626821"
1196|"336183"|"407633"|"19626822"
1196|"336184"|"407633"|"19626823"
8803|"336180"|"407634"|"19627235"
8803|"336182"|"407634"|"19627236"
8803|"336183"|"407634"|"19627237"
8803|"336184"|"407634"|"19627238"
611|"336180"|"407635"|"19626825"
611|"336182"|"407635"|"19626826"
611|"336183"|"407635"|"19626827"
611|"336184"|"407635"|"19626828"
496|"336180"|"407636"|"19626830"
496|"336182"|"407636"|"19626831"
496|"336183"|"407636"|"19626832"
496|"336184"|"407636"|"19626833"
690|"336180"|"407639"|"19627120"
690|"336181"|"407639"|"19627121"
690|"336183"|"407639"|"19627122"
690|"336184"|"407639"|"19627123"
909|"336179"|"407640"|"19627124"
