"","year","month","day","prcp","Precp","Runoff","IR.det"
"119",2007,2,"21",0,0,1.9,0
"120",2007,2,"21",0,0,0.6,0
"121",2007,2,"21",0,0,2.3,0
"122",2007,2,"21",0,0,1.3,0
"123",2007,2,"21",0,0,0.4,0
"124",2007,2,"21",0,0,2.8,0
"125",2007,2,"21",0,0,1.3,0
"126",2007,2,"21",0,0,0.4,0
"127",2007,2,"21",0,0,0.1,0
"128",2007,2,"21",0,0,0.4,0
"129",2007,2,"21",0,0,1.3,0
"130",2007,2,"21",0,0,1.2,0
"131",2007,2,"21",0,0,0.4,0
"132",2007,2,"21",0,0,0.5,0
"133",2007,2,"21",0,0,0.8,0
"134",2007,2,"21",0,0,0.6,0
"135",2007,2,"21",0,0,1.3,0
"136",2007,2,"21",0,0,0.4,0
"137",2007,2,"21",0,0,0.2,0
"138",2007,2,"21",0,0,2.4,0
"139",2007,2,"21",0,0,0.7,0
"140",2007,2,"21",0,0,0.1,0
"141",2007,2,"21",0,0,0.5,0
"142",2007,2,"21",0,0,0.2,0
"143",2007,2,"21",0,0,2.3,0
"144",2007,2,"21",0,0,0.3,0
"145",2007,2,"21",0,0,1.2,0
"146",2007,2,"21",0,0,2.4,0
"147",2007,2,"21",0,0,1.1,0
"148",2007,2,"21",0,0,0.3,0
"149",2007,2,"21",0,0,0.7,0
"150",2007,2,"21",0,0,2.3,0
"151",2007,2,"21",0,0,0.7,0
"152",2007,3,"10",0,0,0.3,0
"153",2007,3,"10",0,0,0.3,0
"154",2007,3,"10",0,0,0.5,0
"155",2007,3,"10",0,0,0,0
"156",2007,3,"10",0,0,1.8,0
"157",2007,3,"10",0,0,0.5,0
"158",2007,3,"10",0,0,1.8,0
"159",2007,3,"10",0,0,0.4,0
"160",2007,3,"10",0,0,0.4,0
"161",2007,3,"10",0,0,0.3,0
"162",2007,3,"10",0,0,1.7,0
"163",2007,3,"10",0,0,1,0
"164",2007,3,"10",0,0,1.2,0
"165",2007,3,"10",0,0,1.2,0
"166",2007,3,"10",0,0,0.7,0
"167",2007,3,"10",0,0,0,0
"168",2007,3,"10",0,0,0,0
"169",2007,3,"10",0,0,1.7,0
"170",2007,3,"10",0,0,0.5,0
"171",2007,3,"10",0,0,1.2,0
"172",2007,3,"10",0,0,0.9,0
"173",2007,3,"10",0,0,0,0
"174",2007,3,"10",0,0,0.8,0
"175",2007,3,"10",0,0,1.2,0
"176",2007,3,"10",0,0,0.2,0
"177",2007,3,"10",0,0,0.8,0
"178",2007,3,"10",0,0,0.9,0
"179",2007,3,"10",0,0,0.5,0
"180",2007,3,"10",0,0,1.7,0
"181",2007,3,"8",0,0,0.1,0
"182",2007,3,"8",0,0,0,0
"183",2007,3,"8",0,0,0.1,0
"184",2007,3,"8",0,0,0,0
"185",2007,3,"8",0,0,0.4,0
"186",2007,3,"8",0,0,0,0
"187",2007,3,"9",4,4.6,16.3,0
"188",2007,3,"9",4,4.6,16.1,0
"189",2007,3,"9",4,4.6,19.7,0
"190",2007,3,"9",4,4.6,16.6,0
"191",2007,3,"9",4,4.6,16.2,0
"192",2007,3,"9",4,4.6,19.8,0
"193",2007,3,"9",4,4.6,16.4,0
"194",2007,3,"9",4,4.6,16,0
"195",2007,3,"9",4,4.6,16.5,0
"196",2007,3,"9",4,4.6,16.5,0
"197",2007,3,"9",4,4.6,16,0
"198",2007,3,"9",4,4.6,16.6,0
"199",2007,3,"9",4,4.6,16.6,0
"200",2007,3,"9",4,4.6,16.2,0
"201",2007,3,"9",4,4.6,16.1,0
"202",2007,3,"9",4,4.6,16.4,0
"203",2007,3,"9",4,4.6,20.1,0
"204",2007,3,"9",4,4.6,16,0
"205",2007,3,"9",4,4.6,16.3,0
"206",2007,3,"9",4,4.6,20.2,0
"207",2007,3,"9",4,4.6,19.6,0
"208",2007,3,"9",4,4.6,16.5,0
"209",2007,3,"9",4,4.6,15.9,0
"210",2007,3,"9",4,4.6,15.9,0
"211",2007,3,"9",4,4.6,16.1,0
"212",2007,3,"9",4,4.6,16,0
"213",2007,3,"9",4,4.6,19.7,0
"214",2007,3,"9",4,4.6,16.5,0
"215",2007,3,"9",4,4.6,16.2,0
"216",2007,3,"9",4,4.6,16.1,0
"217",2007,3,"9",4,4.6,16.2,0
"218",2007,3,"9",4,4.6,19.9,0
"219",2007,3,"9",4,4.6,19.8,0
"220",2007,3,"9",4,4.6,16.1,0
"221",2007,3,"9",4,4.6,16.1,0
"222",2007,3,"9",4,4.6,16.2,0
"223",2007,4,"25",21,41.6,17.6,0.013
"224",2007,4,"25",21,41.6,17.8,0.009
"225",2007,4,"25",21,41.6,2.7,0.003
"226",2007,4,"25",21,41.6,21.1,0.003
"227",2007,4,"25",21,41.6,21.1,0.003
"228",2007,4,"25",21,41.6,22.8,0.003
"229",2007,4,"25",21,41.6,21.1,0.003
"230",2007,4,"25",21,41.6,17.2,0.003
"231",2007,4,"25",21,41.6,22.8,0.003
"232",2007,4,"25",21,41.6,21.1,0.004
"233",2007,4,"25",21,41.6,21.1,0.003
"234",2007,4,"25",21,41.6,21.1,0.003
"235",2007,4,"25",21,41.6,17.2,0.003
"236",2007,4,"25",21,41.6,17.6,0.013
"237",2007,4,"25",21,41.6,0.1,0
"238",2007,4,"25",21,41.6,21.1,0.003
"239",2007,4,"25",21,41.6,21,0.003
"240",2007,4,"25",21,41.6,17.8,0.013
"241",2007,4,"25",21,41.6,21.1,0.003
"242",2007,4,"25",21,41.6,7,0.007
"243",2007,4,"25",21,41.6,21.1,0.003
"244",2007,4,"25",21,41.6,7.1,0.007
"245",2007,4,"25",21,41.6,21.1,0.003
"246",2007,4,"25",21,41.6,21,0.003
"247",2007,4,"25",21,41.6,7,0.007
"248",2007,4,"25",21,41.6,21.1,0.003
"249",2007,4,"25",21,41.6,17.8,0.013
"250",2007,4,"25",21,41.6,21,0.003
"251",2007,4,"25",21,41.6,21.1,0.003
"252",2007,4,"25",21,41.6,2.7,0.003
"253",2007,4,"25",21,41.6,21.1,0.003
"254",2007,4,"25",21,41.6,17.2,0.003
"255",2007,4,"25",21,41.6,6.5,0.005
"256",2007,4,"25",21,41.6,21.1,0.003
"257",2007,4,"25",21,41.6,17.7,0.007
"258",2007,4,"25",21,41.6,7.1,0.007
"259",2007,5,"23",9,14,0.1,0
"260",2007,5,"23",9,14,0.2,0
"261",2007,5,"23",9,14,0,0
"262",2007,5,"23",9,14,0,0
"263",2007,5,"23",9,14,0.1,0
"264",2007,5,"23",9,14,0,0
"265",2007,5,"23",9,14,0.3,0
"266",2007,5,"23",9,14,0,0
"267",2007,5,"23",9,14,0.3,0
"268",2007,5,"23",9,14,0.1,0
"269",2007,5,"23",9,14,0.1,0
"270",2007,5,"23",9,14,0.2,0
"271",2007,5,"23",9,14,0,0
"272",2007,5,"23",9,14,0.3,0
"273",2007,5,"23",9,14,0,0
"274",2007,5,"23",9,14,0,0
"275",2007,5,"23",9,14,0.3,0
"276",2007,5,"23",9,14,0.1,0
"277",2007,5,"23",9,14,0,0
"278",2007,5,"23",9,14,0,0
"279",2007,5,"23",9,14,0,0
"280",2007,5,"23",9,14,0,0
"281",2007,5,"23",9,14,0,0
"282",2007,5,"23",9,14,0,0
"283",2007,5,"23",9,14,0,0
"284",2007,5,"23",9,14,0,0
"285",2007,5,"23",9,14,0.1,0
"286",2007,5,"23",9,14,0.3,0
"287",2007,5,"23",9,14,0,0
"288",2007,5,"23",9,14,0.4,0
"289",2007,5,"23",9,14,0,0
"290",2007,5,"30",26,52,6.2,0.009
"291",2007,5,"30",26,52,6.1,0.009
"292",2007,5,"30",26,52,4.4,0.008
"293",2007,5,"30",26,52,4,0.007
"294",2007,5,"30",26,52,7.8,0.01
"295",2007,5,"30",26,52,4.1,0.007
"296",2007,5,"30",26,52,4.8,0.009
"297",2007,5,"30",26,52,4.8,0.009
"298",2007,5,"30",26,52,6,0.011
"299",2007,5,"30",26,52,6,0.01
"300",2007,5,"30",26,52,6.2,0.009
"301",2007,5,"30",26,52,6.3,0.008
"302",2007,5,"30",26,52,3.9,0.006
"303",2007,5,"30",26,52,6.2,0.009
"304",2007,5,"30",26,52,4.4,0.008
"305",2007,5,"30",26,52,4,0.006
"306",2007,5,"30",26,52,6.1,0.01
"307",2007,5,"30",26,52,6.3,0.009
"308",2007,5,"30",26,52,5.9,0.01
"309",2007,5,"30",26,52,6.2,0.009
"310",2007,5,"30",26,52,7.8,0.01
"311",2007,5,"30",26,52,5.2,0.009
"312",2007,5,"30",26,52,5.9,0.01
"313",2007,5,"30",26,52,4.4,0.008
"314",2007,5,"30",26,52,6,0.008
"315",2007,5,"30",26,52,3.1,0.005
"316",2007,5,"30",26,52,6.2,0.009
"317",2007,5,"30",26,52,6,0.01
"318",2007,5,"30",26,52,4,0.006
"319",2007,5,"30",26,52,6.3,0.009
"320",2007,5,"30",26,52,3.1,0.005
"321",2007,5,"30",26,52,2.4,0.004
"322",2007,5,"30",26,52,6,0.01
"323",2007,5,"30",26,52,4.2,0.006
"324",2007,5,"30",26,52,3.1,0.005
"325",2007,5,"30",26,52,3.1,0.005
"326",2007,5,"6",16,30.1,0,0
"327",2007,5,"6",16,30.1,0,0
"328",2007,5,"6",16,30.1,0,0
"329",2007,5,"6",16,30.1,0,0
"330",2007,5,"6",16,30.1,0,0
"331",2007,5,"6",16,30.1,0,0
"332",2007,5,"6",16,30.1,0,0
"333",2007,5,"6",16,30.1,0,0
"334",2007,5,"6",16,30.1,0,0
"335",2007,5,"6",16,30.1,0,0
"336",2007,5,"6",16,30.1,0.1,0
"337",2007,5,"6",16,30.1,0,0
"338",2007,5,"6",16,30.1,0,0
"339",2007,5,"6",16,30.1,0,0
"340",2007,5,"6",16,30.1,0,0
"341",2007,5,"6",16,30.1,0,0
"342",2007,5,"6",16,30.1,0.1,0
"343",2007,5,"6",16,30.1,0,0
"344",2007,5,"6",16,30.1,0,0
"345",2007,5,"6",16,30.1,0,0
"346",2007,5,"6",16,30.1,0,0
"347",2007,5,"6",16,30.1,0,0
"348",2007,5,"6",16,30.1,0,0
"349",2007,5,"6",16,30.1,0.1,0
"350",2007,5,"6",16,30.1,0.1,0
"351",2007,5,"6",16,30.1,0,0
"352",2007,5,"6",16,30.1,0,0
"353",2007,5,"6",16,30.1,0,0
"354",2007,5,"6",16,30.1,0,0
"355",2007,5,"6",16,30.1,0,0
"356",2007,5,"6",16,30.1,0,0
"357",2007,5,"6",16,30.1,0,0
"358",2007,5,"7",9,15.1,3.1,0
"359",2007,5,"7",9,15.1,3.1,0
"360",2007,5,"7",9,15.1,1.6,0
"361",2007,5,"7",9,15.1,3.1,0
"362",2007,5,"7",9,15.1,3,0
"363",2007,5,"7",9,15.1,1.7,0
"364",2007,5,"7",9,15.1,5.3,0
"365",2007,5,"7",9,15.1,3.1,0
"366",2007,5,"7",9,15.1,3.1,0
"367",2007,5,"7",9,15.1,3.1,0
"368",2007,5,"7",9,15.1,3.1,0
"369",2007,5,"7",9,15.1,3.1,0
"370",2007,5,"7",9,15.1,3.1,0
"371",2007,5,"7",9,15.1,3,0
"372",2007,5,"7",9,15.1,1.6,0
"373",2007,5,"7",9,15.1,3.1,0
"374",2007,5,"7",9,15.1,3.1,0
"375",2007,5,"7",9,15.1,1.7,0
"376",2007,5,"7",9,15.1,3.1,0
"377",2007,5,"7",9,15.1,3.1,0
"378",2007,5,"7",9,15.1,5.3,0
"379",2007,5,"7",9,15.1,1.7,0
"380",2007,5,"7",9,15.1,1.6,0
"381",2007,5,"7",9,15.1,3.1,0
"382",2007,5,"7",9,15.1,3.1,0
"383",2007,6,"18",12,17.5,4.2,0.005
"384",2007,6,"18",12,17.5,3.8,0.006
"385",2007,6,"18",12,17.5,3.5,0.004
"386",2007,6,"18",12,17.5,4.3,0.005
"387",2007,6,"18",12,17.5,3.9,0.004
